time_s,running_vehicle_count,loaded_vehicle_count,departed_vehicle_count,arrived_vehicle_count,mean_speed_mps,mean_waiting_time_s,mean_time_loss_s,halting_vehicle_count
3968.0,7286,0,0,4,9.363365271272668,13.139308262421082,1007.9670454084919,2727
3969.0,7284,0,0,2,9.442422314098646,12.944398682042834,1008.5711954730833,2684
3970.0,7282,0,0,2,9.497597531613478,12.727547377094204,1009.1100429163414,2666
3971.0,7281,0,0,1,9.563623649015172,12.558851806070594,1009.8287079519179,2632
3972.0,7279,0,0,2,9.617130243107626,12.520813298530017,1010.1860075762473,2617
3973.0,7279,0,0,0,9.65977392014757,12.480423135046022,1010.765682793521,2614
3974.0,7278,0,0,1,9.697936624882582,12.33402033525694,1011.3266088020309,2612
3975.0,7278,0,1,1,9.733922003433966,12.249244297884035,1011.7442779790965,2597
3976.0,7276,0,0,2,9.752031339057792,12.163413963716328,1012.4368826569448,2578
3977.0,7272,0,0,4,9.775763978932053,12.035891089108912,1012.8139766695052,2560
3978.0,7269,0,0,3,9.794092596292256,11.97908928325767,1013.4469869713923,2543
3979.0,7268,0,0,1,9.813183034082604,11.953907539900936,1014.0704893411801,2539
3980.0,7265,0,0,3,9.821235800533783,11.906538196834136,1014.9662483930827,2529
3981.0,7263,0,0,2,9.828339783246467,11.891229519482307,1015.4327288362176,2515
3982.0,7260,0,0,3,9.831495094437853,11.911570247933884,1016.1551390714959,2500
3983.0,7257,0,0,3,9.834285473442595,11.87901336640485,1016.5373056189749,2504
3984.0,7255,0,0,2,9.827281179599721,11.864782908339077,1016.9197348432248,2475
3985.0,7253,0,0,2,9.818443693474014,11.84378877705777,1017.5145263680889,2484
3986.0,7251,0,0,2,9.814279542858637,11.839884153909805,1018.1012488870228,2484
3987.0,7248,0,0,3,9.803896473127432,11.881622516556291,1018.9345079204278,2484
3988.0,7248,0,0,0,9.794699388025725,11.847544150110375,1019.50149385212,2483
3989.0,7245,0,0,3,9.78353730993167,11.86583850931677,1019.9557815335444,2493
3990.0,7242,0,0,3,9.766896625465366,11.9015465341066,1020.7011122999584,2521
3991.0,7241,0,0,1,9.760185654717908,11.920591078580307,1021.2095143726965,2513
3992.0,7238,0,0,3,9.738437650149502,11.94363083724786,1022.094623420692,2517
3993.0,7237,0,0,1,9.722310367723434,11.978305927870665,1022.6110822367064,2517
3994.0,7233,0,1,5,9.696523845157627,11.980229503663763,1023.1294957855398,2528
3995.0,7231,0,0,2,9.6887603830422,11.91218365371318,1023.4748894755479,2525
3996.0,7228,0,0,3,9.672196026549226,11.942169341449917,1024.2253609688432,2536
3997.0,7226,0,0,2,9.657956733150536,11.969139219485193,1024.751131504247,2534
3998.0,7226,0,0,0,9.636091469024429,12.014254082479933,1025.328618991064,2554
3999.0,7222,0,0,4,9.590959520858297,12.110911104957076,1025.8735423772248,2579
4000.0,7219,0,0,3,9.552235640558985,12.158609225654523,1026.4343873881207,2591
4001.0,7217,0,0,2,9.502903508526384,12.277816267147013,1026.8596640018,2621
4002.0,7217,0,1,1,9.45761518057167,12.337397810724678,1027.150489929643,2628
4003.0,7215,0,0,2,9.422198208836013,12.3991683991684,1027.776259473701,2643
4004.0,7212,0,0,3,9.371419204062992,12.46630615640599,1027.93171553797,2660
4005.0,7210,0,0,2,9.330543387956196,12.451317614424411,1028.584415447409,2683
4006.0,7208,0,0,2,9.297231431272046,12.393867924528301,1029.1745505049262,2669
4007.0,7207,0,0,1,9.271619767430046,12.379214652421258,1029.8489946773145,2675
4008.0,7205,0,0,2,9.238249087646679,12.442748091603054,1030.4383373425383,2692
4009.0,7204,0,1,2,9.203012563958074,12.428928373126041,1030.9071690086025,2699
4010.0,7201,0,0,3,9.167509485618783,12.494375781141509,1031.3928370148585,2737
4011.0,7195,0,0,6,9.13900552486956,12.528700486448923,1031.8642084103235,2756
4012.0,7195,0,1,1,9.103509491582962,12.547741487143849,1032.2398634296494,2763
4013.0,7192,0,0,3,9.070786262341676,12.576751946607342,1032.5982958519176,2791
4014.0,7188,0,0,4,9.028898189100056,12.643850862548693,1032.963170987976,2830
4015.0,7190,0,2,0,8.995082707327429,12.74826147426982,1033.2917428830015,2858
4016.0,7188,0,0,2,8.962480743965356,12.82262103505843,1033.9972567166055,2880
